"Rank","Country","Overall","Innovation inputs","Innovation performance"
1,"Japan",2.33,2.24,2.55
2,"South Korea",2.26,2.74,1.92
3,"USA",1.88,1.59,1.99
4,"China",1.87,1.76,1.81
5,"France",1.64,1.25,1.88
6,"Canada",1.42,1.39,1.32
7,"United Kingdom",1.42,1.33,1.37
8,"Germany",1.12,1.05,1.09
9,"Netherlands",1.12,1.17,0.96
10,"Australia",1.02,0.89,1.05
11,"Spain",0.93,0.83,0.95
12,"Belgium",0.86,0.85,0.79
13,"Italy",0.73,0.07,1.32
14,"Sweden",0.21,0.16,0.24
15,"Russia",0.06,0.14,-0.02
16,"Mexico",-0.09,-0.02,-0.16
17,"Indonesia",-0.16,0.11,-0.42
18,"Turkey",-0.21,0.15,-0.55
19,"Spain",-0.57,-0.63,-0.46
20,"Brazil",-0.59,-0.62,-0.51
